SMILES,SF
[O-][N+](C(COc1[n+](nc(OCC([N+](=O)[O-])(F)[N+](=O)[O-])[n+]([O-])n1)[O-])(F)[N+](=O)[O-])=O,-6.05932842
n1c(OCC([N+]([O-])=O)([N+]([O-])=O)F)[n+]([O-])nc(OCC([N+](=O)[O-])([N+](=O)[O-])F)[n+]1[O-],-6.05932842
n1c(OCC([N+]([O-])=O)([N+]([O-])=O)F)[n+]([O-])nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]1[O-],-6.05932842
[O-][N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)([N+](=O)[O-])F)(F)[N+]([O-])=O)=O,-6.05932842
O(c1[n+](nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-])CC([N+]([O-])=O)(F)[N+](=O)[O-],-6.05932842
O=[N+]([O-])C(COc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])([N+](=O)[O-])F,-6.05932842
[O-][N+](C([N+]([O-])=O)(COc1[n+](nc(OCC(F)([N+]([O-])=O)[N+](=O)[O-])[n+]([O-])n1)[O-])F)=O,-6.05932842
[n+]1([O-])c(OCC([N+](=O)[O-])(F)[N+](=O)[O-])n[n+](c(n1)OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-],-6.05932842
[N+](=O)(C(F)(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[N+](=O)[O-])[O-],-6.05932842
[N+](=O)([O-])C([N+](=O)[O-])(F)COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+](n1)[O-],-6.05932842
C(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)([N+]([O-])=O)([N+](=O)[O-])F,-6.05932842
C(Oc1[n+](nc([n+]([O-])n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O)[O-])C([N+]([O-])=O)(F)[N+]([O-])=O,-6.05932842
FC([N+]([O-])=O)(COc1[n+]([O-])nc(OCC([N+]([O-])=O)([N+](=O)[O-])F)[n+](n1)[O-])[N+](=O)[O-],-6.05932842
O(CC(F)([N+](=O)[O-])[N+]([O-])=O)c1n[n+](c(OCC([N+]([O-])=O)(F)[N+]([O-])=O)n[n+]1[O-])[O-],-6.05932842
C([N+](=O)[O-])([N+]([O-])=O)(F)COc1[n+]([O-])nc(OCC([N+](=O)[O-])([N+](=O)[O-])F)[n+](n1)[O-],-6.05932842
[N+](=O)([O-])C(F)(COc1n[n+]([O-])c(OCC([N+]([O-])=O)([N+](=O)[O-])F)n[n+]1[O-])[N+]([O-])=O,-6.05932842
C(Oc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])C([N+](=O)[O-])([N+](=O)[O-])F,-6.05932842
n1c([n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]1[O-])OCC(F)([N+](=O)[O-])[N+]([O-])=O,-6.05932842
O=[N+]([O-])C([N+](=O)[O-])(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])F,-6.05932842
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])(F)[N+]([O-])=O)[O-],-6.05932842
[n+]1([O-])nc([n+]([O-])nc1OCC(F)([N+](=O)[O-])[N+](=O)[O-])OCC([N+]([O-])=O)([N+](=O)[O-])F,-6.05932842
C(F)([N+]([O-])=O)([N+]([O-])=O)COc1n[n+](c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n[n+]1[O-])[O-],-6.05932842
n1[n+]([O-])c(n[n+]([O-])c1OCC([N+]([O-])=O)(F)[N+](=O)[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-],-6.05932842
FC([N+](=O)[O-])(COc1n[n+](c(OCC([N+](=O)[O-])([N+](=O)[O-])F)n[n+]1[O-])[O-])[N+]([O-])=O,-6.05932842
O(c1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)CC(F)([N+](=O)[O-])[N+](=O)[O-],-6.05932842
[O-][N+](=O)C([N+]([O-])=O)(F)COc1[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1,-6.05932842
C([N+](=O)[O-])(F)(COc1[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1)[N+](=O)[O-],-6.05932842
[n+]1([O-])c(OCC(F)([N+](=O)[O-])[N+]([O-])=O)n[n+](c(OCC([N+](=O)[O-])([N+]([O-])=O)F)n1)[O-],-6.05932842
C([N+]([O-])=O)([N+]([O-])=O)(COc1n[n+](c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])[O-])F,-6.05932842
O(c1n[n+]([O-])c(OCC([N+](=O)[O-])([N+](=O)[O-])F)n[n+]1[O-])CC(F)([N+]([O-])=O)[N+](=O)[O-],-6.05932842
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-])([N+](=O)[O-])F)[O-],-6.05932842
c1(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-],-6.05932842
[O-][N+](=O)C([N+]([O-])=O)(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)F,-6.05932842
FC([N+]([O-])=O)(COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+](n1)[O-])[O-])[N+](=O)[O-],-6.05932842
n1[n+](c(n[n+](c1OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-],-6.05932842
O(c1[n+]([O-])nc([n+]([O-])n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O)CC([N+]([O-])=O)(F)[N+](=O)[O-],-6.05932842
c1([n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+]([O-])=O)[n+]([O-])n1)OCC([N+](=O)[O-])([N+]([O-])=O)F,-6.05932842
[N+](=O)(C(COc1n[n+](c(OCC(F)([N+](=O)[O-])[N+](=O)[O-])n[n+]1[O-])[O-])([N+]([O-])=O)F)[O-],-6.05932842
O=[N+](C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])(F)[N+](=O)[O-])[O-],-6.05932842
[O-][n+]1c(n[n+](c(n1)OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-],-6.05932842
C(Oc1n[n+](c(n[n+]1[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)[O-])C([N+](=O)[O-])([N+]([O-])=O)F,-6.05932842
[O-][N+](=O)C(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+]([O-])=O)(F)[N+](=O)[O-])([N+](=O)[O-])F,-6.05932842
C(Oc1n[n+]([O-])c(OCC([N+]([O-])=O)(F)[N+]([O-])=O)n[n+]1[O-])C(F)([N+]([O-])=O)[N+]([O-])=O,-6.05932842
O(CC(F)([N+]([O-])=O)[N+]([O-])=O)c1[n+](nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](n1)[O-])[O-],-6.05932842
O=[N+]([O-])C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+](n1)[O-])([N+]([O-])=O)F,-6.05932842
O=[N+](C([N+]([O-])=O)(F)COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]([O-])n1)[O-])[O-],-6.05932842
O=[N+](C([N+]([O-])=O)(COc1[n+](nc([n+](n1)[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-])[O-])F)[O-],-6.05932842
[n+]1([O-])nc(OCC([N+]([O-])=O)(F)[N+]([O-])=O)[n+]([O-])nc1OCC([N+]([O-])=O)([N+](=O)[O-])F,-6.05932842
[n+]1([O-])nc([n+]([O-])nc1OCC([N+](=O)[O-])(F)[N+]([O-])=O)OCC(F)([N+](=O)[O-])[N+]([O-])=O,-6.05932842
n1c(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+]([O-])nc(OCC(F)([N+](=O)[O-])[N+](=O)[O-])[n+]1[O-],-6.05932842
[N+](C(COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+](=O)[O-])[n+](n1)[O-])[O-])(F)[N+]([O-])=O)(=O)[O-],-6.05932842
[O-][N+](C([N+](=O)[O-])(COc1n[n+]([O-])c(OCC(F)([N+]([O-])=O)[N+]([O-])=O)n[n+]1[O-])F)=O,-6.05932842
C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+](n1)[O-])([N+]([O-])=O)([N+]([O-])=O)F,-6.05932842
O=[N+]([O-])C(F)([N+](=O)[O-])COc1n[n+](c(OCC(F)([N+](=O)[O-])[N+]([O-])=O)n[n+]1[O-])[O-],-6.05932842
[O-][N+](=O)C([N+]([O-])=O)(F)COc1n[n+](c(n[n+]1[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[O-],-6.05932842
[N+]([O-])(C(F)([N+]([O-])=O)COc1[n+](nc([n+](n1)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F)[O-])=O,-6.05932842
O=[N+](C(COc1[n+](nc(OCC([N+](=O)[O-])([N+]([O-])=O)F)[n+]([O-])n1)[O-])([N+]([O-])=O)F)[O-],-6.05932842
O=[N+](C(COc1[n+]([O-])nc(OCC([N+](=O)[O-])(F)[N+]([O-])=O)[n+]([O-])n1)([N+]([O-])=O)F)[O-],-6.05932842
[n+]1(nc([n+](nc1OCC([N+]([O-])=O)(F)[N+]([O-])=O)[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[O-],-6.05932842
n1c([n+](nc([n+]1[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O,-6.05932842
O=[N+](C(F)([N+]([O-])=O)COc1[n+]([O-])nc([n+](n1)[O-])OCC(F)([N+]([O-])=O)[N+]([O-])=O)[O-],-6.05932842
[n+]1([O-])c(OCC(F)([N+](=O)[O-])[N+](=O)[O-])n[n+]([O-])c(n1)OCC(F)([N+](=O)[O-])[N+]([O-])=O,-6.05932842
O=[N+](C(F)(COc1n[n+]([O-])c(n[n+]1[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[N+](=O)[O-])[O-],-6.05932842
N1([PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C,1.331125749
c1(cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)C(C)C,1.331125749
