SMILES,SF
c1ccc2[n+]([O-])c3c(cccc3)[n+](c2c1)[O-],1.477707836
c1c2c(ccc1)[n+]([O-])c1ccccc1[n+]2[O-],1.477707836
[n+]1([O-])c2ccccc2[n+](c2c1cccc2)[O-],1.477707836
c12[n+]([O-])c3ccccc3[n+](c2cccc1)[O-],1.477707836
c1ccc2c([n+]([O-])c3ccccc3[n+]2[O-])c1,1.477707836
c1cccc2[n+]([O-])c3c(cccc3)[n+](c21)[O-],1.477707836
c12ccccc2[n+]([O-])c2c(cccc2)[n+]1[O-],1.477707836
c12ccccc2[n+]([O-])c2c([n+]1[O-])cccc2,1.477707836
c1c2c([n+](c3c([n+]2[O-])cccc3)[O-])ccc1,1.477707836
c12c(cccc1)[n+](c1ccccc1[n+]2[O-])[O-],1.477707836
[O-][n+]1c2ccccc2[n+]([O-])c2ccccc21,1.477707836
c1cc2[n+]([O-])c3c(cccc3)[n+](c2cc1)[O-],1.477707836
c1ccc2c([n+]([O-])c3c([n+]2[O-])cccc3)c1,1.477707836
[n+]1(c2c(cccc2)[n+](c2ccccc12)[O-])[O-],1.477707836
c1c2c([n+](c3c([n+]2[O-])cccc3)[O-])ccc1,1.477707836
[n+]1([O-])c2c(cccc2)[n+](c2c1cccc2)[O-],1.477707836
c12[N+]([O-])=[N+](c3c(Cc1c(F)nc(F)c2F)cc(cc3C)C)[O-],1.704209925
c12c(C)cc(C)cc2Cc2c(nc(c(F)c2[N+](=[N+]1[O-])[O-])F)F,1.704209925
c1c(c2c(Cc3c(c(F)c(nc3F)F)[N+](=[N+]2[O-])[O-])cc1C)C,1.704209925
Cc1cc2c([N+](=[N+](c3c(F)c(F)nc(c3C2)F)[O-])[O-])c(C)c1,1.704209925
Fc1nc(F)c(c2c1Cc1c(c(C)cc(C)c1)[N+]([O-])=[N+]2[O-])F,1.704209925
c1c(c2c(Cc3c([N+]([O-])=[N+]2[O-])c(c(F)nc3F)F)cc1C)C,1.704209925
C1c2c(nc(F)c(F)c2[N+](=[N+]([O-])c2c1cc(cc2C)C)[O-])F,1.704209925
c1c(C)c2c(Cc3c([N+](=[N+]2[O-])[O-])c(F)c(F)nc3F)cc1C,1.704209925
c1(c2[N+](=[N+]([O-])c3c(c(nc(F)c3F)F)Cc2cc(C)c1)[O-])C,1.704209925
