SMILES
Clc1cccc(-n2nc([O-])n[n+]2-c2ccccc2)c1
Clc1ccc(-c2nsnc2N=C2SN=S=C2c2ccccc2)cc1
COc1ccc(-n2nc([O-])n[n+]2-c2ccccc2)cc1
COc1cccc(-n2nc([O-])n[n+]2-c2ccccc2)c1
C[n+]1cccc(-n2nc([O-])n[n+]2-c2ccccc2)c1
[O-]c1nsnc1N=C1SN=S=C1c1ccccc1
Clc1cccc(-c2nsnc2N=C2SN=S=C2c2ccccc2)c1
Fc1cccc(F)c1-c1nsnc1N=C1SN=S=C1c1ccccc1
CCS(=O)(=O)c1c(-c2ccc[n+](C)c2)[n+]([O-])c2ccccc2[n+]1[O-]
CCS(=O)(=O)c1c(-c2cccc(Br)c2)[n+]([O-])c2ccccc2[n+]1[O-]
COCCOC(=O)Cc1scc2ccccc12
FC(F)(F)c1cccc(-c2nsnc2N=C2SN=S=C2c2ccccc2)c1
C[Si](C)(C)c1nsnc1N=C1SN=S=C1c1ccccc1
C[n+]1ccc(-[n+]2noc([O-])c2-c2noc(CCl)n2)cc1
O=C1c2ccc(Cl)cc2NC1=O
[O-]c1on[n+](-c2ccccc2)c1-c1noc(CCl)n1
CC1(C)N=C(C2=[N+]([O-])C(C)(C)C(C)(C)[N+]([O-])=C2)N([O-])C1(C)C
COc1cccc(-c2nsnc2N=C2SN=S=C2c2ccccc2)c1
