SMILES
[O-][n+]1onc2c(F)cccc21
[O-][n+]1onc2ccccc21
Cc1cc2c(cc1I)no[n+]2[O-]
Cc1cc2c(cc1Br)no[n+]2[O-]
[O-][n+]1onc2cc(Br)ccc21
[O-][n+]1onc2c(Cl)ccc(Cl)c21
Cc1ccc2c(c1)no[n+]2[O-]
O=[N+]([O-])c1cc2no[n+]([O-])c2cc1[N+](=O)[O-]
[O-][n+]1onc2ccc(C=Cc3ccccc3)cc21
N#Cc1cc([N+](=O)[O-])c2no[n+]([O-])c2c1
[O-][n+]1onc2cc(F)c(N3CCOCC3)cc21
O=[N+]([O-])c1cc([N+](=O)[O-])c2no[n+]([O-])c2c1
[O-][n+]1onc2c(N3CCOCC3)cc(Cl)cc21
O=[N+]([O-])c1cc2c(no[n+]2[O-])c2onc(C3OCCO3)c12
CCOc1cc(F)cc2c1no[n+]2[O-]
[O-][n+]1onc2c(Cl)cc(Cl)cc21
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc2c(c1)no[n+]2[O-]
[O-][n+]1onc2c(Br)ccc(Br)c21
O=C1CCCN1c1c([N+](=O)[O-])c(Cl)cc2c1no[n+]2[O-]
N#Cc1noc2c1c([N+](=O)[O-])cc1c2no[n+]1[O-]
