SMILES,SF
N#Cc1c(-c2n(cc[n+]2-c2c(cccc2C(C)C)C(C)C)-c2c(cccc2C(C)C)C(C)C)[n-]c([N+](=C(C#N)C#N)[C-](C#N)C#N)c1C#N,0.692802615
CC(C)c1c(-[n+]2c(-c3c(c(C#N)c([n-]3)[N+]([C-](C#N)C#N)=C(C#N)C#N)C#N)n(cc2)-c2c(C(C)C)cccc2C(C)C)c(C(C)C)ccc1,0.692802615
c1(-c2[n-]c(c(C#N)c2C#N)[N+]([C-](C#N)C#N)=C(C#N)C#N)[n+](ccn1-c1c(cccc1C(C)C)C(C)C)-c1c(cccc1C(C)C)C(C)C,0.692802615
C(C)(C)c1cccc(c1-[n+]1c(n(cc1)-c1c(cccc1C(C)C)C(C)C)-c1[n-]c([N+]([C-](C#N)C#N)=C(C#N)C#N)c(c1C#N)C#N)C(C)C,0.692802615
C(#N)[C-](C#N)[N+](=C(C#N)C#N)c1c(c(c([n-]1)-c1[n+](-c2c(C(C)C)cccc2C(C)C)ccn1-c1c(C(C)C)cccc1C(C)C)C#N)C#N,0.692802615
C(=O)(OCC)c1[n+](c2cc(ccc2[n+](c1C)[O-])Cl)[O-],1.056571417
c1cc2[n+]([O-])c(C)c(C(=O)OCC)[n+]([O-])c2cc1Cl,1.056571417
[O-][n+]1c(C(OCC)=O)c([n+]([O-])c2c1cc(cc2)Cl)C,1.056571417
[n+]1(c(C)c(C(OCC)=O)[n+]([O-])c2c1ccc(Cl)c2)[O-],1.056571417
[O-][n+]1c(c(C(OCC)=O)[n+](c2cc(Cl)ccc21)[O-])C,1.056571417
[n+]1(c2ccc(OC)cc2[n+](cc1C)[O-])[O-],1.128096418
c1c(cc2c([n+]([O-])c(C)c[n+]2[O-])c1)OC,1.128096418
[O-][n+]1c(c[n+]([O-])c2c1ccc(c2)OC)C,1.128096418
c1cc2[n+]([O-])c(C)c[n+](c2cc1OC)[O-],1.128096418
c1[n+](c2c(ccc(OC)c2)[n+]([O-])c1C)[O-],1.128096418
C(S(=O)(c1[n+]([O-])c2c(cccc2)[n+](c1-c1ccccc1)[O-])=O)C,1.20389518
[O-][n+]1c2ccccc2[n+](c(-c2ccccc2)c1S(CC)(=O)=O)[O-],1.20389518
CCS(=O)(c1[n+]([O-])c2c(cccc2)[n+]([O-])c1-c1ccccc1)=O,1.20389518
c1(-c2c(S(=O)(CC)=O)[n+]([O-])c3c(cccc3)[n+]2[O-])ccccc1,1.20389518
O=S(CC)(=O)c1c(-c2ccccc2)[n+](c2ccccc2[n+]1[O-])[O-],1.20389518
Fc1cc(c(cc1=C(C#N)C#N)F)=C(C#N)C#N,0.656899794
C(=c1cc(F)c(=C(C#N)C#N)cc1F)(C#N)C#N,0.656899794
C(#N)C(=c1c(F)cc(c(c1)F)=C(C#N)C#N)C#N,0.656899794
c1(cc(=C(C#N)C#N)c(cc1=C(C#N)C#N)F)F,0.656899794
Fc1c(cc(c(=C(C#N)C#N)c1)F)=C(C#N)C#N,0.656899794
c1cc2c(=O)n[n+](-c3ccccc3)n([O-])c2cc1,0.867485965
c12n([n+](-c3ccccc3)nc(c1cccc2)=O)[O-],0.867485965
O=c1n[n+](n(c2ccccc12)[O-])-c1ccccc1,0.867485965
c1cccc2n([O-])[n+](-c3ccccc3)nc(=O)c12,0.867485965
O=c1c2c(n([O-])[n+](-c3ccccc3)n1)cccc2,0.867485965
c1c(=C2C=C(C(C(=C2)C(C)(C)C)=O)C(C)(C)C)sc(c1)=C1C=C(C(=O)C(C(C)(C)C)=C1)C(C)(C)C,0.745880182
CC(C)(C1C(C(C(C)(C)C)=CC(C=1)=c1sc(=C2C=C(C(C(C(C)(C)C)=C2)=O)C(C)(C)C)cc1)=O)C,0.745880182
CC(C)(C)C1=CC(=c2ccc(s2)=C2C=C(C(C)(C)C)C(=O)C(=C2)C(C)(C)C)C=C(C1=O)C(C)(C)C,0.745880182
C1(C(=CC(C=C1C(C)(C)C)=c1sc(=C2C=C(C(C)(C)C)C(C(C(C)(C)C)=C2)=O)cc1)C(C)(C)C)=O,0.745880182
CC(C1=CC(C=C(C(C)(C)C)C1=O)=c1sc(=C2C=C(C(=O)C(C(C)(C)C)=C2)C(C)(C)C)cc1)(C)C,0.745880182
C(C#N)(C#N)=c1ccc(cc1)=C(C#N)C#N,0.702734884
c1c(=C(C#N)C#N)ccc(c1)=C(C#N)C#N,0.702734884
c1c(ccc(=C(C#N)C#N)c1)=C(C#N)C#N,0.702734884
C(#N)C(=c1ccc(cc1)=C(C#N)C#N)C#N,0.702734884
c1c(=C(C#N)C#N)ccc(c1)=C(C#N)C#N,0.702734884
C(OC(Nc1cc2[n+](c(c([n+]([O-])c2cc1)CBr)CBr)[O-])=O)(C)(C)C,1.106207332
c12ccc(cc2[n+]([O-])c(c([n+]1[O-])CBr)CBr)NC(OC(C)(C)C)=O,1.106207332
[O-][n+]1c2ccc(cc2[n+]([O-])c(c1CBr)CBr)NC(OC(C)(C)C)=O,1.106207332
CC(OC(Nc1ccc2c(c1)[n+](c(CBr)c([n+]2[O-])CBr)[O-])=O)(C)C,1.106207332
[O-][n+]1c2c(cc(cc2)NC(OC(C)(C)C)=O)[n+](c(CBr)c1CBr)[O-],1.106207332
C[Si](C(C)(C)C)(C)[Si]([Si](C(C)C)(C)C(C)C)=[Si]([Si](C(C)C)(C(C)C)C)[Si](C)(C(C)(C)C)C,0.513364989
CC(C)([Si](C)([Si]([Si](C(C)C)(C(C)C)C)=[Si]([Si](C(C)(C)C)(C)C)[Si](C(C)C)(C(C)C)C)C)C,0.513364989
[Si]([Si]([Si](C)(C(C)C)C(C)C)=[Si]([Si](C(C)C)(C)C(C)C)[Si](C)(C(C)(C)C)C)(C)(C)C(C)(C)C,0.513364989
CC(C)[Si](C(C)C)([Si](=[Si]([Si](C)(C(C)(C)C)C)[Si](C(C)C)(C(C)C)C)[Si](C)(C(C)(C)C)C)C,0.513364989
CC([Si](C)(C(C)C)[Si](=[Si]([Si](C)(C)C(C)(C)C)[Si](C(C)C)(C)C(C)C)[Si](C)(C)C(C)(C)C)C,0.513364989
CC([Si](C(C)C)(C)[Si]([Si](C(C)C)(C(C)C)C)=[Si]([Si](C)(C(C)(C)C)C)[Si](C)(C)C(C)(C)C)C,0.426571872
[Si](C)([Si](=[Si]([Si](C)(C(C)(C)C)C)[Si](C)(C(C)(C)C)C)[Si](C(C)C)(C(C)C)C)(C(C)C)C(C)C,0.426571872
CC(C)([Si](C)(C)[Si](=[Si]([Si](C(C)C)(C(C)C)C)[Si](C(C)C)(C)C(C)C)[Si](C(C)(C)C)(C)C)C,0.426571872
CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C(C)(C)C)C)[Si](C)(C(C)(C)C)C)[Si](C(C)C)(C)C(C)C,0.426571872
CC(C)(C)[Si](C)(C)[Si](=[Si]([Si](C(C)C)(C)C(C)C)[Si](C)(C(C)C)C(C)C)[Si](C(C)(C)C)(C)C,0.426571872
C(#N)C(=c1ccc(=C(C#N)C#N)c(c1)CCCCCCCCCCCC)C#N,0.363510598
C(CCCCCCCCCc1c(=C(C#N)C#N)ccc(c1)=C(C#N)C#N)CC,0.363510598
C(C(C#N)=c1ccc(c(CCCCCCCCCCCC)c1)=C(C#N)C#N)#N,0.363510598
c1(=C(C#N)C#N)ccc(=C(C#N)C#N)c(c1)CCCCCCCCCCCC,0.363510598
c1c(CCCCCCCCCCCC)c(ccc1=C(C#N)C#N)=C(C#N)C#N,0.363510598
CC(C)([Si](C)([Si]([Si](C(C)(C)C)(C)C)=[Si]([Si](C(C)(C)C)(C)C)[Si](C)(C(C)(C)C)C)C)C,0.483027486
CC(C)([Si](C)(C)[Si]([Si](C(C)(C)C)(C)C)=[Si]([Si](C)(C(C)(C)C)C)[Si](C(C)(C)C)(C)C)C,0.483027486
C[Si]([Si](=[Si]([Si](C)(C(C)(C)C)C)[Si](C)(C(C)(C)C)C)[Si](C(C)(C)C)(C)C)(C(C)(C)C)C,0.483027486
[Si](C)([Si](=[Si]([Si](C(C)(C)C)(C)C)[Si](C(C)(C)C)(C)C)[Si](C(C)(C)C)(C)C)(C)C(C)(C)C,0.483027486
C[Si](C)([Si](=[Si]([Si](C(C)(C)C)(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)C(C)(C)C,0.483027486
CC(C)[Si](C(C)C)(C(C)C)[Si](=[Si]([Si](C(C)C)(C(C)C)C(C)C)[Si](C)(C)C)[Si](C)(C)C,0.448507017
CC([Si](C(C)C)([Si]([Si](C)(C)C)=[Si]([Si](C(C)C)(C(C)C)C(C)C)[Si](C)(C)C)C(C)C)C,0.448507017
C[Si](C)(C)[Si]([Si](C(C)C)(C(C)C)C(C)C)=[Si]([Si](C(C)C)(C(C)C)C(C)C)[Si](C)(C)C,0.448507017
[Si](C(C)C)(C(C)C)([Si]([Si](C)(C)C)=[Si]([Si](C)(C)C)[Si](C(C)C)(C(C)C)C(C)C)C(C)C,0.448507017
[Si]([Si](C(C)C)(C(C)C)C(C)C)([Si](C)(C)C)=[Si]([Si](C)(C)C)[Si](C(C)C)(C(C)C)C(C)C,0.448507017
c12cc(ccc2=NSS1)=C(C#N)C#N,0.785536969
c1c(cc2SSN=c2c1)=C(C#N)C#N,0.785536969
c1cc(=C(C#N)C#N)cc2c1=NSS2,0.785536969
N1=c2ccc(cc2SS1)=C(C#N)C#N,0.785536969
c1c2c(cc(c1)=C(C#N)C#N)SSN=2,0.785536969
Cc1c[n+]([O-])c(C)c[n+]1[O-],0.709548128
